《灰烬钟塔》Tilemap 精细蓝图坐标清单
说明：坐标为生成器设计坐标，当前 Scale = 1。
流程原则：进入房间 -> 普通关卡挑战 -> 获得能力 -> 立即使用能力 -> 打开出口/返回主路线。

[Room] Area_01_荒凉小径 | position=(-80, 0) | size=(48, 18) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_01_荒凉小径_左墙 | position=(-80, 0) | size=(1, 18) | 房间左边界
[Walls] Area_01_荒凉小径_右墙 | position=(-33, 0) | size=(1, 18) | 房间右边界
[Walls] Area_01_荒凉小径_顶墙 | position=(-80, 17) | size=(48, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(-92, -2) | size=(30, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-77, 4) | size=(9, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-61, 2) | size=(14, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-86, 8) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-69, 11) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-58, 7) | size=(5, 2) | 可行走地面或跳台占位
[Room] Area_02_断桥教学区 | position=(-42, 0) | size=(38, 22) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_02_断桥教学区_左墙 | position=(-42, 0) | size=(1, 22) | 房间左边界
[Walls] Area_02_断桥教学区_右墙 | position=(-5, 0) | size=(1, 22) | 房间右边界
[Walls] Area_02_断桥教学区_顶墙 | position=(-42, 21) | size=(38, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(-50, -2) | size=(13, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-28, -2) | size=(15, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-45, 7) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-48, 11) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-21, 9) | size=(6, 2) | 可行走地面或跳台占位
[AshenPlatforms] AshPlatform | position=(-37, 3) | size=(6, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(-31, 5) | size=(5, 1) | 灰烬态才出现的路线平台
[AshenPlatforms] AshPlatform | position=(-34, 9) | size=(5, 1) | 灰烬态才出现的路线平台
[Room] Area_03_钟塔前庭 | position=(-14, 0) | size=(46, 28) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_03_钟塔前庭_左墙 | position=(-14, 0) | size=(1, 28) | 房间左边界
[Walls] Area_03_钟塔前庭_右墙 | position=(31, 0) | size=(1, 28) | 房间右边界
[Walls] Area_03_钟塔前庭_顶墙 | position=(-14, 27) | size=(46, 1) | 房间上边界
[Terrain/Platforms] Platform | position=(-20, -2) | size=(32, 3) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(-14, 7) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(1, 5) | size=(8, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(11, 8) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(21, 11) | size=(7, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(22, 17) | size=(6, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(5, 12) | size=(5, 2) | 可行走地面或跳台占位
[Terrain/Platforms] Platform | position=(16, 15) | size=(5, 2) | 可行走地面或跳台占位
[Room] Area_04_钟塔大厅 | position=(16, 0) | size=(48, 42) | 完整房间边界，包含背景、左右墙、顶墙和内部路线
[Walls] Area_04_钟塔大厅_左墙 | position=(16, 0) | size=(1, 42) | 房间左边界
